"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"154",1.15,0.35,0.35,0.14,0.34,4,1,1,0,1,NA,NA,NA,NA,NA
"155",0.04,-0.3,-0.11,-0.15,-0.23,0,0,0,0,0,NA,NA,NA,NA,NA
"156",0.99,-0.43,0.73,0.38,0.58,3,1,3,1,2,NA,NA,NA,NA,NA
"157",0.06,-0.48,0.07,0.02,-0.04,0,1,0,0,0,NA,NA,NA,NA,NA
"158",0.57,-0.39,0.07,0.03,-0.09,1,1,0,0,0,NA,NA,NA,NA,NA
"159",0.27,-0.2,-0.11,-0.07,-0.24,0,0,0,0,0,NA,NA,NA,NA,NA
"160",-0.32,-0.3,0.12,0.25,0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"161",-0.04,-0.22,-0.35,-0.31,-0.22,0,0,1,1,0,NA,NA,NA,NA,NA
"162",0.2,0.2,-0.37,-0.2,-0.36,0,0,1,0,1,NA,NA,NA,NA,NA
"163",-0.24,0.04,-0.2,0.02,-0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"164",-0.1,-0.51,0.04,0.12,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"165",0.13,-0.47,-0.11,-0.09,-0.2,0,1,0,0,0,NA,NA,NA,NA,NA
"166",-0.3,-0.2,0.09,0.2,0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"167",0.15,0.37,-0.15,0,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"168",-0.01,-0.62,-0.16,-0.18,-0.2,0,2,0,0,0,NA,NA,NA,NA,NA
"169",0.62,0.35,-0.33,-0.25,-0.31,1,1,1,0,1,NA,NA,NA,NA,NA
"170",0.24,0,-0.06,-0.03,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"171",0.51,0,0.1,0.1,-0.03,1,0,0,0,0,NA,NA,NA,NA,NA
"172",0.16,-0.5,-0.08,-0.25,-0.27,0,1,0,0,0,NA,NA,NA,NA,NA
"173",-0.04,-0.47,0.02,0.01,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"174",0.64,0.43,0.1,0.13,0.01,1,1,0,0,0,NA,NA,NA,NA,NA
"175",-0.06,0.19,-0.42,-0.27,-0.2,0,0,1,0,0,NA,NA,NA,NA,NA
"176",-0.51,-0.06,-0.14,-0.04,-0.1,1,0,0,0,0,NA,NA,NA,NA,NA
"177",-0.8,-0.21,0.26,0.35,0.32,2,0,0,1,1,NA,NA,NA,NA,NA
"178",-0.02,-0.44,-0.07,0,-0.15,0,1,0,0,0,NA,NA,NA,NA,NA
"179",-0.47,-0.12,-0.05,-0.01,0.16,1,0,0,0,0,NA,NA,NA,NA,NA
"180",0.4,-0.57,0.14,0.09,0.08,0,1,0,0,0,NA,NA,NA,NA,NA
"181",-0.15,-0.33,0.06,0.08,0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"182",-0.07,0.01,-0.09,-0.12,-0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"183",-0.05,-0.34,-0.09,0.06,-0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"184",0.01,-0.34,-0.2,-0.05,-0.29,0,0,0,0,0,NA,NA,NA,NA,NA
"185",-0.04,-0.2,0.03,-0.09,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"186",0.55,0.44,-0.03,-0.12,0.17,1,1,0,0,0,NA,NA,NA,NA,NA
"187",0.27,-0.59,0.03,0.04,-0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"188",-0.74,-0.27,0.17,-0.05,0.26,2,0,0,0,0,NA,NA,NA,NA,NA
"189",0.59,-0.53,0.13,0.02,-0.08,1,1,0,0,0,NA,NA,NA,NA,NA
"190",-0.34,-0.08,-0.4,-0.25,-0.07,0,0,1,0,0,NA,NA,NA,NA,NA
"191",0.53,-0.56,0.37,0.22,0.23,1,1,1,0,0,NA,NA,NA,NA,NA
"192",-0.35,0.06,-0.3,-0.29,-0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"193",-0.21,0.15,-0.01,-0.02,-0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"194",0.48,0.25,-0.42,-0.33,-0.38,1,0,1,1,1,NA,NA,NA,NA,NA
"195",0,-0.23,-0.28,-0.25,-0.29,0,0,0,0,0,NA,NA,NA,NA,NA
"196",-0.01,-0.1,-0.38,-0.44,-0.28,0,0,1,1,0,NA,NA,NA,NA,NA
"197",0.49,-0.48,0.37,0.12,0.36,1,1,1,0,1,NA,NA,NA,NA,NA
"198",0.23,-0.45,-0.05,-0.1,-0.24,0,1,0,0,0,NA,NA,NA,NA,NA
"199",0.77,0.31,0.06,0,0.13,2,0,0,0,0,NA,NA,NA,NA,NA
"200",-0.12,0.42,0.09,-0.24,-0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"201",0.62,0.37,-0.18,-0.21,-0.14,1,1,0,0,0,NA,NA,NA,NA,NA
"202",0.68,-0.08,-0.04,-0.08,-0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"203",-0.43,-0.42,-0.16,-0.25,0.03,1,1,0,0,0,NA,NA,NA,NA,NA
"204",-0.6,-0.17,0.08,0.12,0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"205",-0.81,0.28,-0.31,-0.27,0.05,2,0,1,0,0,NA,NA,NA,NA,NA
"206",-0.06,-0.29,0.13,0.23,-0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"207",0.32,-0.31,-0.16,-0.16,-0.29,0,0,0,0,0,NA,NA,NA,NA,NA
"208",-0.34,1.04,0.11,-0.08,0.28,0,4,0,0,0,NA,NA,NA,NA,NA
"209",-0.11,-0.06,-0.29,-0.3,-0.28,0,0,0,1,0,NA,NA,NA,NA,NA
"210",-0.23,-0.12,-0.4,-0.27,-0.26,0,0,1,0,0,NA,NA,NA,NA,NA
"211",-0.87,0.37,0.37,2.21,-1.09,2,1,1,27,7,NA,NA,NA,NA,NA
"212",-0.19,-0.45,-0.02,0.05,0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"213",0.08,0.58,-0.13,-0.07,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"214",-0.27,-0.09,-0.1,0.03,0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"215",0.43,-0.46,-0.01,-0.04,-0.2,1,1,0,0,0,NA,NA,NA,NA,NA
"216",0.66,0.03,0.07,-0.06,0.13,1,0,0,0,0,NA,NA,NA,NA,NA
"217",-0.6,-0.13,-0.19,-0.21,0.15,1,0,0,0,0,NA,NA,NA,NA,NA
"218",-0.68,-0.23,0.2,-0.25,0.12,1,0,0,0,0,NA,NA,NA,NA,NA
"219",0.15,-0.42,0.08,-0.04,0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"220",0.08,0.03,-0.27,-0.28,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"221",0.16,0.71,-0.26,-0.24,-0.29,0,2,0,0,1,NA,NA,NA,NA,NA
"222",0.08,-0.19,-0.19,-0.06,-0.25,0,0,0,0,0,NA,NA,NA,NA,NA
"223",-0.74,-0.07,0.21,0.34,0.47,2,0,0,1,1,NA,NA,NA,NA,NA
"224",0.26,-0.09,0.3,0.19,0.36,0,0,0,0,1,NA,NA,NA,NA,NA
"225",-0.75,0.27,0.07,0.02,0.23,2,0,0,0,0,NA,NA,NA,NA,NA
"226",0.54,0.4,-0.16,-0.21,-0.03,1,1,0,0,0,NA,NA,NA,NA,NA
"227",-0.4,0.55,0.15,-0.05,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"228",0.29,-0.17,-0.05,0.05,-0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"229",0.05,-0.55,0.12,0.28,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"230",0.03,-0.04,-0.54,-0.42,-0.35,0,0,2,1,1,NA,NA,NA,NA,NA
"231",-0.24,-0.35,-0.14,-0.17,-0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"232",0.24,0.4,-0.23,-0.09,-0.19,0,1,0,0,0,NA,NA,NA,NA,NA
"233",-0.39,-0.19,-0.11,0.13,0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"234",-0.55,-0.34,-0.13,-0.07,0.08,1,0,0,0,0,NA,NA,NA,NA,NA
"235",0.22,-0.25,0.27,0.2,0.32,0,0,0,0,1,NA,NA,NA,NA,NA
"236",-0.49,-0.32,0.23,0.16,0.33,1,0,0,0,1,NA,NA,NA,NA,NA
"237",-0.06,-0.36,-0.17,-0.01,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"238",-0.17,-0.12,-0.61,-0.59,-0.47,0,0,2,2,1,NA,NA,NA,NA,NA
"239",-0.51,-0.22,0.21,0.31,0.19,1,0,0,1,0,NA,NA,NA,NA,NA
"240",0.25,-0.22,0.25,0.22,0.32,0,0,0,0,1,NA,NA,NA,NA,NA
"241",0.55,-0.24,0.05,0,-0.07,1,0,0,0,0,NA,NA,NA,NA,NA
"242",0.36,0.15,-0.16,-0.12,-0.18,0,0,0,0,0,NA,NA,NA,NA,NA
"243",0.02,0.13,-0.52,-0.2,-0.44,0,0,1,0,1,NA,NA,NA,NA,NA
"244",0.73,0.29,-0.05,-0.07,-0.07,1,0,0,0,0,NA,NA,NA,NA,NA
"245",0.32,-0.55,0.14,0.12,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"246",-0.29,-0.47,0.03,-0.16,0.03,0,1,0,0,0,NA,NA,NA,NA,NA
"247",0.14,0.4,-0.19,-0.09,-0.09,0,1,0,0,0,NA,NA,NA,NA,NA
"248",0.2,-0.56,0.1,0.15,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"249",-0.07,0.55,-0.22,0,-0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"250",0.04,-0.46,-0.22,-0.08,-0.26,0,1,0,0,0,NA,NA,NA,NA,NA
"251",-0.22,-0.34,-0.22,-0.07,-0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"252",-0.33,-0.49,-0.03,0,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"253",0.54,-0.5,0.14,0.01,-0.02,1,1,0,0,0,NA,NA,NA,NA,NA
"254",0.07,-0.46,-0.08,-0.17,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"255",-0.08,-0.49,-0.08,-0.08,-0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"256",-0.58,0.59,0.17,0.09,0.3,1,1,0,0,1,NA,NA,NA,NA,NA
"257",0.38,0.39,-0.1,0.03,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"258",0.01,0.71,-0.28,-0.09,0.03,0,2,0,0,0,NA,NA,NA,NA,NA
"259",-0.6,0.63,0.08,0,0.06,1,2,0,0,0,NA,NA,NA,NA,NA
"260",-0.37,0.63,-0.39,-0.21,-0.03,0,2,1,0,0,NA,NA,NA,NA,NA
"261",-0.21,-0.14,-0.13,0.03,0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"262",0.61,0.44,-0.28,-0.13,-0.31,1,1,0,0,1,NA,NA,NA,NA,NA
"263",-0.02,0.47,-0.21,0.04,-0.08,0,1,0,0,0,NA,NA,NA,NA,NA
"264",0.75,0.3,-0.19,-0.14,-0.25,2,0,0,0,0,NA,NA,NA,NA,NA
"265",-0.29,0.72,0,-0.01,0.2,0,2,0,0,0,NA,NA,NA,NA,NA
"266",-0.07,-0.02,-0.21,-0.05,-0.18,0,0,0,0,0,NA,NA,NA,NA,NA
"267",-0.28,0.07,-0.01,0.04,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"268",0.24,-0.26,-0.1,-0.05,-0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"269",0.48,-0.47,0.06,-0.01,-0.13,1,1,0,0,0,NA,NA,NA,NA,NA
"270",0.98,0.51,0.38,0.12,0.49,3,1,1,0,1,NA,NA,NA,NA,NA
"271",-0.21,0.5,0,-0.21,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"272",-0.22,-0.25,-0.24,-0.17,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"273",0.01,0.13,-0.31,-0.18,-0.2,0,0,1,0,0,NA,NA,NA,NA,NA
"274",0.34,0.72,-0.16,-0.05,0,0,2,0,0,0,NA,NA,NA,NA,NA
"275",0.6,0.51,-0.12,-0.07,0.01,1,1,0,0,0,NA,NA,NA,NA,NA
"276",0.98,0.19,0.2,0.19,0.18,3,0,0,0,0,NA,NA,NA,NA,NA
"277",0.32,0.36,-0.26,-0.15,-0.2,0,1,0,0,0,NA,NA,NA,NA,NA
"278",0.61,-0.31,0.17,0.13,0.07,1,0,0,0,0,NA,NA,NA,NA,NA
"279",0.31,0.27,0.25,0.07,0.38,0,0,0,0,1,NA,NA,NA,NA,NA
"280",0.45,-0.58,0.2,0.07,0.07,1,1,0,0,0,NA,NA,NA,NA,NA
"281",0.44,0.25,0.01,0.06,-0.05,1,0,0,0,0,NA,NA,NA,NA,NA
"282",-0.12,-0.11,-0.09,-0.06,0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"283",-0.19,-0.64,-0.23,-0.32,-0.17,0,2,0,1,0,NA,NA,NA,NA,NA
"284",-0.32,-0.2,-0.05,-0.02,-0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"285",-0.03,0.57,-0.3,-0.22,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"286",-0.37,0.09,-0.13,-0.13,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"287",-0.12,-0.38,0.04,0.16,-0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"288",-0.9,0.3,0.18,0.11,0.29,2,0,0,0,1,NA,NA,NA,NA,NA
"289",-0.74,-0.31,-0.04,-0.13,0.19,2,0,0,0,0,NA,NA,NA,NA,NA
"290",-1.06,-0.03,0.18,0,0.39,3,0,0,0,1,NA,NA,NA,NA,NA
"291",-0.91,0.52,0.05,0.03,0.08,2,1,0,0,0,NA,NA,NA,NA,NA
"292",-0.06,0.16,-0.4,-0.32,-0.16,0,0,1,1,0,NA,NA,NA,NA,NA
"293",0.18,-0.56,-0.06,-0.16,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"294",-0.13,-0.32,0.26,0.26,0.32,0,0,0,0,1,NA,NA,NA,NA,NA
"295",-0.33,0.58,-0.23,-0.08,0.19,0,1,0,0,0,NA,NA,NA,NA,NA
"296",-0.09,-0.53,0.01,0,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"297",-0.11,-0.47,0.01,0.09,0,0,1,0,0,0,NA,NA,NA,NA,NA
"298",-0.79,0.02,0.45,-0.15,0.09,2,0,1,0,0,NA,NA,NA,NA,NA
"299",-0.77,-0.18,0.15,-0.16,0,2,0,0,0,0,NA,NA,NA,NA,NA
"300",-0.22,0.51,-0.32,-0.09,0.02,0,1,1,0,0,NA,NA,NA,NA,NA
"301",-0.91,0.51,0.07,0.21,0.1,2,1,0,0,0,NA,NA,NA,NA,NA
"302",0.67,0.59,-0.08,-0.21,-0.16,1,1,0,0,0,NA,NA,NA,NA,NA
"303",-0.26,-0.4,0.02,0.06,0.08,0,1,0,0,0,NA,NA,NA,NA,NA
"304",0.53,0.44,-0.12,-0.04,-0.14,1,1,0,0,0,NA,NA,NA,NA,NA
"305",-1.15,0.22,0.6,0.07,0.43,4,0,2,0,1,NA,NA,NA,NA,NA
"306",-0.57,-0.19,-0.18,-0.11,0.05,1,0,0,0,0,NA,NA,NA,NA,NA
"307",-0.03,-0.35,-0.01,-0.03,-0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"308",-0.78,0.15,0.11,0.24,0.06,2,0,0,0,0,NA,NA,NA,NA,NA
"309",-0.25,0.22,-0.11,-0.11,0.08,0,0,0,0,0,NA,NA,NA,NA,NA
"310",0.43,0.2,0.09,0.12,-0.03,1,0,0,0,0,NA,NA,NA,NA,NA
"311",0,-0.37,0.02,-0.1,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"312",0.08,-0.28,0.28,0.31,0.35,0,0,0,1,1,NA,NA,NA,NA,NA
"313",0.01,-0.37,-0.24,-0.08,-0.25,0,1,0,0,0,NA,NA,NA,NA,NA
"314",0.82,-0.3,0.48,0.23,0.3,2,0,1,0,1,NA,NA,NA,NA,NA
"315",1.15,0.54,0.34,0.15,0.42,4,1,1,0,1,NA,NA,NA,NA,NA
"316",0.4,-0.02,0.11,0.14,-0.03,0,0,0,0,0,NA,NA,NA,NA,NA
"317",0.4,-0.32,0.13,0.19,-0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"318",0.66,-0.21,0.1,0.03,0.01,1,0,0,0,0,NA,NA,NA,NA,NA
"319",-0.21,-0.24,-0.07,-0.07,0.15,0,0,0,0,0,NA,NA,NA,NA,NA
"320",0.14,-0.12,-0.3,-0.19,-0.44,0,0,0,0,1,NA,NA,NA,NA,NA
"321",-0.04,-0.4,-0.07,-0.18,-0.13,0,1,0,0,0,NA,NA,NA,NA,NA
"322",0.49,0.2,-0.19,-0.2,-0.21,1,0,0,0,0,NA,NA,NA,NA,NA
"323",-0.7,0.63,0.47,0,0.17,1,2,1,0,0,NA,NA,NA,NA,NA
"324",0.26,-0.55,-0.06,0,-0.27,0,1,0,0,0,NA,NA,NA,NA,NA
"325",-0.08,0.35,-0.27,-0.05,-0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"326",-0.19,0.76,-0.05,0.01,0,0,2,0,0,0,NA,NA,NA,NA,NA
"327",-0.19,0.29,-0.37,-0.08,-0.26,0,0,1,0,0,NA,NA,NA,NA,NA
"328",-0.16,0,-0.32,-0.07,-0.16,0,0,1,0,0,NA,NA,NA,NA,NA
"329",0.96,-0.4,0.62,0.31,0.45,3,1,2,1,1,NA,NA,NA,NA,NA
"330",-0.76,-0.22,-0.06,0.06,0.31,2,0,0,0,1,NA,NA,NA,NA,NA
"331",0.28,-0.42,-0.04,-0.09,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"332",-0.55,-0.09,-0.03,0.19,0.14,1,0,0,0,0,NA,NA,NA,NA,NA
"333",0.09,-0.59,0.11,0.14,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"334",-0.61,-0.11,0.13,0.11,0.32,1,0,0,0,1,NA,NA,NA,NA,NA
"335",0.01,-0.48,-0.06,-0.09,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"336",0.46,-0.52,0.24,0.2,0.02,1,1,0,0,0,NA,NA,NA,NA,NA
"337",0.23,0.28,0.05,-0.05,-0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"338",0.28,-0.3,0.04,0.01,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"339",0.01,0.87,-0.11,2.08,-1.79,0,3,0,24,19,NA,NA,NA,NA,NA
"340",0.22,0.65,-0.21,-0.32,-0.21,0,2,0,1,0,NA,NA,NA,NA,NA
"341",0.39,0.42,-0.23,-0.1,-0.25,0,1,0,0,0,NA,NA,NA,NA,NA
"342",-0.43,-0.24,-0.01,-0.03,0.17,1,0,0,0,0,NA,NA,NA,NA,NA
"343",0.38,0.18,-0.18,-0.09,-0.23,0,0,0,0,0,NA,NA,NA,NA,NA
"344",-0.67,0.34,0.36,0.08,0.06,1,0,1,0,0,NA,NA,NA,NA,NA
"345",0.45,0.35,-0.15,-0.11,-0.16,1,0,0,0,0,NA,NA,NA,NA,NA
"346",-0.05,0.34,-0.28,1.5,-1.66,0,0,0,13,16,NA,NA,NA,NA,NA
"347",-0.64,0.55,-0.21,-0.05,0.04,1,1,0,0,0,NA,NA,NA,NA,NA
"348",0.11,0.35,-0.17,-0.23,-0.27,0,0,0,0,0,NA,NA,NA,NA,NA
"349",0.74,-0.44,0.4,0.14,0.23,2,1,1,0,0,NA,NA,NA,NA,NA
"350",0.88,0.41,0.16,0.06,0.19,2,1,0,0,0,NA,NA,NA,NA,NA
"351",0.22,-0.44,0.09,0.12,-0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"352",-0.07,0.03,-0.28,-0.07,-0.07,0,0,0,0,0,NA,NA,NA,NA,NA
"353",0.35,-0.28,-0.08,-0.12,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"354",-0.34,-0.27,0.09,0.14,0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"355",0.08,-0.43,-0.08,0.05,-0.18,0,1,0,0,0,NA,NA,NA,NA,NA
"356",-0.2,-0.45,-0.01,-0.09,-0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"357",-0.24,-0.48,0.47,0.28,0.7,0,1,1,0,3,NA,NA,NA,NA,NA
"358",0.12,0.16,-0.13,0.09,-0.23,0,0,0,0,0,NA,NA,NA,NA,NA
"359",0.23,0.15,-0.03,0.08,-0.06,0,0,0,0,0,NA,NA,NA,NA,NA
"360",0.06,0.08,-0.16,0.11,-0.3,0,0,0,0,1,NA,NA,NA,NA,NA
"361",-0.13,-0.03,-0.12,0.04,-0.1,0,0,0,0,0,NA,NA,NA,NA,NA
"362",0.15,-0.39,0.05,0.02,-0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"363",0.22,0.82,0.21,0.06,0.15,0,3,0,0,0,NA,NA,NA,NA,NA
"364",-0.38,-0.25,-0.04,0.01,0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"365",0.35,0.38,-0.23,-0.18,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"366",-0.34,-0.06,-0.19,-0.09,0.05,0,0,0,0,0,NA,NA,NA,NA,NA
"367",0.41,0.49,-0.23,-0.01,-0.27,0,1,0,0,0,NA,NA,NA,NA,NA
"368",-0.72,0.03,-0.27,-0.1,0.08,1,0,0,0,0,NA,NA,NA,NA,NA
"369",-0.14,-0.15,-0.22,-0.11,-0.14,0,0,0,0,0,NA,NA,NA,NA,NA
"370",0.06,-0.31,-0.06,-0.04,-0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"371",0.82,0.4,-0.13,-0.12,-0.16,2,1,0,0,0,NA,NA,NA,NA,NA
"372",-0.33,-0.62,0.08,-0.01,0.02,0,2,0,0,0,NA,NA,NA,NA,NA
"373",-0.17,-0.61,0.02,-0.04,0.1,0,2,0,0,0,NA,NA,NA,NA,NA
"374",0.23,0.04,-0.15,-0.16,-0.12,0,0,0,0,0,NA,NA,NA,NA,NA
"375",0.37,-0.34,-0.11,-0.03,-0.16,0,0,0,0,0,NA,NA,NA,NA,NA
"376",0.08,-0.47,-0.08,-0.09,-0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"377",-0.59,0.44,0.05,0.11,0.12,1,1,0,0,0,NA,NA,NA,NA,NA
"378",-0.48,-0.12,0.5,0.01,0.03,1,0,1,0,0,NA,NA,NA,NA,NA
"379",-0.19,0.35,-0.34,-0.11,-0.11,0,0,1,0,0,NA,NA,NA,NA,NA
"380",0.67,0.47,-0.13,0.11,-0.36,1,1,0,0,1,NA,NA,NA,NA,NA
"381",-0.45,-0.22,-0.04,-0.03,0.06,1,0,0,0,0,NA,NA,NA,NA,NA
"382",-0.37,-0.15,0.05,0.02,0.27,0,0,0,0,0,NA,NA,NA,NA,NA
"383",-0.2,0.06,-0.42,-0.3,-0.19,0,0,1,1,0,NA,NA,NA,NA,NA
"384",0.66,0.4,-0.22,-0.16,-0.21,1,1,0,0,0,NA,NA,NA,NA,NA
"385",0.19,-0.32,-0.28,-0.31,-0.35,0,0,0,1,1,NA,NA,NA,NA,NA
"386",0.12,-0.37,0.16,0.13,0.05,0,1,0,0,0,NA,NA,NA,NA,NA
"387",0.02,0.15,-0.23,-0.11,-0.13,0,0,0,0,0,NA,NA,NA,NA,NA
"388",-0.16,0.27,-0.26,-0.06,-0.17,0,0,0,0,0,NA,NA,NA,NA,NA
"389",-0.28,-0.37,0,-0.1,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"390",0.67,-0.5,0.48,0.17,0.35,1,1,1,0,1,NA,NA,NA,NA,NA
"391",0.08,-0.49,-0.12,-0.12,-0.23,0,1,0,0,0,NA,NA,NA,NA,NA
"392",-0.39,-0.41,-0.07,-0.13,0.1,0,1,0,0,0,NA,NA,NA,NA,NA
"393",0.21,-0.32,-0.16,-0.13,-0.29,0,0,0,0,0,NA,NA,NA,NA,NA
"394",-0.2,-0.25,-0.09,0.05,-0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"395",0.79,0.49,-0.12,-0.11,-0.16,2,1,0,0,0,NA,NA,NA,NA,NA
"396",0.44,-0.48,0.35,0.12,0.29,1,1,1,0,0,NA,NA,NA,NA,NA
"397",0.03,-0.44,0.18,0.18,0.06,0,1,0,0,0,NA,NA,NA,NA,NA
"398",0.64,0.35,-0.12,-0.1,-0.15,1,1,0,0,0,NA,NA,NA,NA,NA
"399",0.64,-0.54,0.36,0.12,0.18,1,1,1,0,0,NA,NA,NA,NA,NA
"400",-0.45,0.13,-0.23,-0.03,0.06,1,0,0,0,0,NA,NA,NA,NA,NA
"401",-0.11,0.22,-0.23,-0.24,-0.31,0,0,0,0,1,NA,NA,NA,NA,NA
"402",0.14,-0.11,-0.1,-0.09,-0.21,0,0,0,0,0,NA,NA,NA,NA,NA
"403",-0.2,-0.47,0.25,0.14,0.14,0,1,0,0,0,NA,NA,NA,NA,NA
"404",0.53,0.24,-0.24,-0.21,-0.15,1,0,0,0,0,NA,NA,NA,NA,NA
"405",-0.54,0.18,0.13,0.14,0.24,1,0,0,0,0,NA,NA,NA,NA,NA
"406",-0.43,-0.19,-0.04,-0.15,-0.02,1,0,0,0,0,NA,NA,NA,NA,NA
"407",-0.4,-0.35,0.37,0.1,0.47,0,0,1,0,1,NA,NA,NA,NA,NA
"408",0.54,0.07,0.51,0.24,0.41,1,0,1,0,1,NA,NA,NA,NA,NA
"409",-0.11,-0.64,0.16,-0.06,0.17,0,2,0,0,0,NA,NA,NA,NA,NA
"410",0.04,0.61,-0.21,0.01,-0.12,0,2,0,0,0,NA,NA,NA,NA,NA
"411",-0.34,-0.28,0.27,0.32,0.42,0,0,0,1,1,NA,NA,NA,NA,NA
"412",-0.45,-0.06,-0.16,0.07,-0.1,1,0,0,0,0,NA,NA,NA,NA,NA
"413",-0.53,-0.3,0.19,0.12,0.23,1,0,0,0,0,NA,NA,NA,NA,NA
"414",-0.49,0.63,0.05,-0.02,0.24,1,2,0,0,0,NA,NA,NA,NA,NA
"415",-0.74,0.26,-0.24,-0.11,0.02,2,0,0,0,0,NA,NA,NA,NA,NA
"416",-0.2,0.7,-0.12,-0.03,0.05,0,2,0,0,0,NA,NA,NA,NA,NA
"417",0.16,0.38,-0.27,-0.16,-0.07,0,1,0,0,0,NA,NA,NA,NA,NA
"418",-0.17,-0.06,0,0.03,-0.16,0,0,0,0,0,NA,NA,NA,NA,NA
"419",0.28,-0.32,-0.13,0.05,-0.22,0,0,0,0,0,NA,NA,NA,NA,NA
"420",-0.16,-0.22,-0.1,-0.02,-0.02,0,0,0,0,0,NA,NA,NA,NA,NA
"421",-0.3,-0.46,0.13,0.18,0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"422",0.55,-0.5,0.13,0,-0.09,1,1,0,0,0,NA,NA,NA,NA,NA
"423",0.03,-0.16,0.12,0.18,0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"424",0.33,-0.52,0.01,-0.07,-0.15,0,1,0,0,0,NA,NA,NA,NA,NA
"425",0.02,-0.01,-0.25,-0.12,-0.14,0,0,0,0,0,NA,NA,NA,NA,NA
"426",-0.35,-0.22,0.04,0.03,0,0,0,0,0,0,NA,NA,NA,NA,NA
"427",-0.3,0.46,0.12,-0.16,0.02,0,1,0,0,0,NA,NA,NA,NA,NA
