"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"wonderw: 9",-1.53,1.41,1.59,12.32,-8.4,1,2,3,190,91,0.6,0.5,0.7,38.9,18.1
"stan: 1",-0.14,-0.82,0.4,0.12,0.17,1,72,22,2,4,0.8,29,6.8,0.6,1.2
"stan: 2",-0.25,-0.5,0.07,0.07,0.07,3,15,0,0,0,1.3,5.1,0.1,0.1,0.1
"stan: 3",-0.31,0.04,-0.27,-0.04,-0.11,4,0,5,0,1,1.8,0,1.3,0,0.2
"stan: 4",0.37,0.89,-0.25,-0.16,-0.09,12,103,11,5,2,8,45.5,3.7,1.5,0.5
"stan: 9",-1.71,2.01,2.74,24.86,-17.74,0,1,2,193,102,0.2,0.3,0.5,39.6,20.1
"fourseas: 1",-0.5,0.21,-0.01,0.07,0.06,35,9,0,1,1,32.4,5.7,0,0.7,0.5
"fourseas: 2",-0.04,-0.35,-0.21,-0.26,-0.18,0,3,1,2,1,0,0.8,0.3,0.5,0.2
"fourseas: 3",0.31,-0.5,-0.37,-0.35,-0.46,4,16,11,11,18,2.1,5.3,3,2.6,4.4
"fourseas: 4",1.14,-0.04,0.42,0.18,0.27,64,0,16,3,7,32.5,0,4.4,0.9,1.8
"fourseas: 9",1.57,-0.12,1.14,0.4,0.83,1,0,1,0,0,0.3,0,0.2,0,0.1
"einstein: 1",-1.12,0.25,0.53,0.46,1.12,10,1,4,3,21,4.2,0.2,1,0.7,4.2
"einstein: 2",-0.97,0.15,0.09,1.02,-0.36,7,0,0,15,2,2.8,0.1,0,3.1,0.4
"einstein: 3",-0.65,0.01,0.19,-0.46,-0.07,11,0,2,11,0,4.9,0,0.4,2.5,0.1
"einstein: 4",0.16,-0.02,-0.05,0.01,-0.02,5,0,1,0,0,12.9,0.1,1.2,0,0.3
"einstein: 9",-2.3,-0.54,1.69,-1.02,1.61,1,0,1,0,1,0.3,0,0.2,0.1,0.2
"symph5: 1",-0.79,0.74,0.06,0.16,0.34,31,39,0,2,12,15.7,13.7,0.1,0.6,2.9
"symph5: 2",-0.61,0.51,-0.04,0.01,0.31,5,5,0,0,3,2.4,1.6,0,0,0.6
"symph5: 3",-0.3,-0.2,-0.31,-0.26,-0.16,5,3,9,7,3,2.5,1.1,2.6,1.9,0.7
